profileType,thickness,length,quantity,role,sourceEntityId,codigo,descripcion,muro,panel
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_north_0","PGC 100x0.9-90","Montante Estándar","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"montante_principal","panel_wall_north_0","PGC 100x0.9-90","Montante Principal (King)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"montante_principal","panel_wall_north_0","PGC 100x0.9-90","Montante Principal (King)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2,1,"montante_apoyo","panel_wall_north_0","PGC 100x0.9-90","Montante de Apoyo (Jack)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2,1,"montante_apoyo","panel_wall_north_0","PGC 100x0.9-90","Montante de Apoyo (Jack)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,0.4,1,"montante_corto_superior","panel_wall_north_0","PGC 100x0.9-90","Montante Corto Superior (Cripple)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,0.4,1,"montante_corto_superior","panel_wall_north_0","PGC 100x0.9-90","Montante Corto Superior (Cripple)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,0.4,1,"montante_corto_superior","panel_wall_north_0","PGC 100x0.9-90","Montante Corto Superior (Cripple)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,1.2,1,"solera_ventana","panel_wall_north_0","PGC 100x0.9-90","Solera de Ventana","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,1,1,"montante_corto_inferior","panel_wall_north_0","PGC 100x0.9-90","Montante Corto Inferior (Cripple)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,1,1,"montante_corto_inferior","panel_wall_north_0","PGC 100x0.9-90","Montante Corto Inferior (Cripple)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,1,1,"montante_corto_inferior","panel_wall_north_0","PGC 100x0.9-90","Montante Corto Inferior (Cripple)","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"corner","panel_wall_north_0","PGC 100x0.9-90","Perfil PGC 100x0.9 - corner","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"corner","panel_wall_north_0","PGC 100x0.9-90","Perfil PGC 100x0.9 - corner","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"corner","panel_wall_north_0","PGC 100x0.9-90","Perfil PGC 100x0.9 - corner","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"corner","panel_wall_north_0","PGC 100x0.9-90","Perfil PGC 100x0.9 - corner","wall_north","panel_wall_north_0"
"PGU 100x0.9",0.9,4,2,"track","panel_wall_north_0","PGU 100x0.9-90","Solera","wall_north","panel_wall_north_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"common","panel_wall_south_0","PGC 100x0.9-90","Montante Estándar","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"montante_principal","panel_wall_south_0","PGC 100x0.9-90","Montante Principal (King)","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"montante_principal","panel_wall_south_0","PGC 100x0.9-90","Montante Principal (King)","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.1,1,"montante_apoyo","panel_wall_south_0","PGC 100x0.9-90","Montante de Apoyo (Jack)","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.1,1,"montante_apoyo","panel_wall_south_0","PGC 100x0.9-90","Montante de Apoyo (Jack)","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,0.3,1,"montante_corto_superior","panel_wall_south_0","PGC 100x0.9-90","Montante Corto Superior (Cripple)","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,0.3,1,"montante_corto_superior","panel_wall_south_0","PGC 100x0.9-90","Montante Corto Superior (Cripple)","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"corner","panel_wall_south_0","PGC 100x0.9-90","Perfil PGC 100x0.9 - corner","wall_south","panel_wall_south_0"
"PGC 100x0.9",0.9,2.6,1,"corner","panel_wall_south_0","PGC 100x0.9-90","Perfil PGC 100x0.9 - corner","wall_south","panel_wall_south_0"
