id,perfil,longitud,cantidad,anguloInicio,anguloFin,panel,muro,prioridadFabricacion
"PIEZA-0000","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0001","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0002","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0003","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0004","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0005","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0006","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0007","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0008","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0009","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0010","PGC 100x0.9",2,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0011","PGC 100x0.9",2,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0012","PGC 100x0.9",0.4,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0013","PGC 100x0.9",0.4,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0014","PGC 100x0.9",0.4,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0015","PGC 100x0.9",1.2,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0016","PGC 100x0.9",1,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0017","PGC 100x0.9",1,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0018","PGC 100x0.9",1,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0019","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
"PIEZA-0020","PGC 100x0.9",2.6,1,0,0,"panel_wall_north_0","wall_north",1
